area,name,taxable_income_million_yen,income_taxpayers,fiscal_year
06363,舟形町,5169.0,1990.0,2022
06364,真室川町,7096.0,2758.0,2022
06365,大蔵村,3195.0,1230.0,2022
06366,鮭川村,4141.0,1570.0,2022
06367,戸沢村,3920.0,1611.0,2022
06381,高畠町,26351.0,9906.0,2022
06382,川西町,15704.0,5976.0,2022
06401,小国町,8887.0,3141.0,2022
06402,白鷹町,14568.0,5660.0,2022
06403,飯豊町,7424.0,2826.0,2022
06426,三川町,8943.0,3299.0,2022
06428,庄内町,23210.0,9107.0,2022
06461,遊佐町,14070.0,5576.0,2022
07000,福島県,2562274.0,839379.0,2022
07201,福島市,420692.0,131379.0,2022
07202,会津若松市,157849.0,52182.0,2022
07203,郡山市,492392.0,152228.0,2022
07204,いわき市,461528.0,146625.0,2022
07205,白河市,85004.0,27732.0,2022
07207,須賀川市,99024.0,33914.0,2022
07208,喜多方市,52479.0,19659.0,2022
07209,相馬市,51645.0,15455.0,2022
07210,二本松市,66333.0,23983.0,2022
07211,田村市,39482.0,14475.0,2022
07212,南相馬市,80965.0,26742.0,2022
07213,伊達市,71251.0,25984.0,2022
07214,本宮市,40159.0,13996.0,2022
07301,桑折町,13671.0,5025.0,2022
07303,国見町,9926.0,3690.0,2022
07308,川俣町,13873.0,5219.0,2022
07322,大玉村,10842.0,3930.0,2022
07342,鏡石町,16058.0,5669.0,2022
07344,天栄村,6100.0,2209.0,2022
07362,下郷町,5374.0,2019.0,2022
07364,檜枝岐村,644.0,219.0,2022
07367,只見町,5219.0,1594.0,2022
07368,南会津町,16552.0,5938.0,2022
07402,北塩原村,2573.0,1037.0,2022
07405,西会津町,5290.0,2107.0,2022
07407,磐梯町,3979.0,1363.0,2022
07408,猪苗代町,14883.0,5650.0,2022
07421,会津坂下町,17533.0,6393.0,2022
07422,湯川村,3728.0,1337.0,2022
07423,柳津町,3061.0,1187.0,2022
07444,三島町,1496.0,563.0,2022
07445,金山町,1747.0,686.0,2022
07446,昭和村,1004.0,391.0,2022
07447,会津美里町,21231.0,8014.0,2022
07461,西郷村,28880.0,9726.0,2022
07464,泉崎村,7447.0,2641.0,2022
07465,中島村,6232.0,2220.0,2022
07466,矢吹町,21395.0,7681.0,2022
07481,棚倉町,17915.0,5830.0,2022
07482,矢祭町,6649.0,2285.0,2022
07483,塙町,10111.0,3452.0,2022
07484,鮫川村,3427.0,1269.0,2022
07501,石川町,16484.0,6077.0,2022
07502,玉川村,7268.0,2737.0,2022
07503,平田村,6348.0,2312.0,2022
07504,浅川町,7325.0,2645.0,2022
07505,古殿町,5154.0,1896.0,2022
07521,三春町,19989.0,7436.0,2022
07522,小野町,11024.0,4123.0,2022
07541,広野町,7583.0,2353.0,2022
